2023-12-26 09:48:57,035 |sse-nio-8443-exec-18 |NoModule                      |O| ExamID ==========================================null
2023-12-26 09:49:11,514 |sse-nio-8443-exec-32 |NoModule                      |O| examName is........????????English
2023-12-26 09:49:11,518 |sse-nio-8443-exec-32 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:49:49,870 |sse-nio-8443-exec-36 |NoModule                      |O| examName is........????????English
2023-12-26 09:49:49,870 |sse-nio-8443-exec-36 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:49:54,000 |sse-nio-8443-exec-34 |NoModule                      |O| ExamID ==========================================null
2023-12-26 09:50:48,551 |sse-nio-8443-exec-30 |NoModule                      |O| examName is........????????English
2023-12-26 09:50:48,552 |sse-nio-8443-exec-30 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:51:52,976 |sse-nio-8443-exec-30 |NoModule                      |O| examName is........????????English
2023-12-26 09:51:52,976 |sse-nio-8443-exec-30 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:51:55,696 |sse-nio-8443-exec-41 |NoModule                      |O| ExamID ==========================================null
2023-12-26 09:51:57,788 |sse-nio-8443-exec-18 |NoModule                      |O| ExamID ==========================================null
2023-12-26 09:52:00,431 |sse-nio-8443-exec-36 |NoModule                      |O| ExamID ==========================================null
2023-12-26 09:52:05,694 |sse-nio-8443-exec-40 |NoModule                      |O| examName is........????????English
2023-12-26 09:52:05,695 |sse-nio-8443-exec-40 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:56:40,699 |sse-nio-8443-exec-51 |NoModule                      |O| examName is........????????English
2023-12-26 09:56:40,700 |sse-nio-8443-exec-51 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:56:41,884 |sse-nio-8443-exec-34 |NoModule                      |O| ExamID ==========================================null
2023-12-26 09:57:10,662 |sse-nio-8443-exec-18 |NoModule                      |O| examName is........????????English
2023-12-26 09:57:10,662 |sse-nio-8443-exec-18 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:57:24,381 |sse-nio-8443-exec-30 |NoModule                      |O| examName is........????????English
2023-12-26 09:57:24,381 |sse-nio-8443-exec-30 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:57:48,139 |sse-nio-8443-exec-36 |NoModule                      |O| examName is........????????English
2023-12-26 09:57:48,139 |sse-nio-8443-exec-36 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=firstTopic}, {topicId=2, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=secondTopic}]}
2023-12-26 09:59:14,067 |sse-nio-8443-exec-36 |NoModule                      |O| ExamID ==========================================null
2023-12-26 09:59:17,489 |sse-nio-8443-exec-34 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,512 |sse-nio-8443-exec-58 |NoModule                      |O| ExamID ==========================================null
2023-12-26 09:59:17,570 |sse-nio-8443-exec-51 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,596 |sse-nio-8443-exec-36 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,655 |sse-nio-8443-exec-30 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,673 |sse-nio-8443-exec-34 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,707 |sse-nio-8443-exec-58 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,818 |sse-nio-8443-exec-51 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,840 |sse-nio-8443-exec-36 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,904 |sse-nio-8443-exec-30 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,937 |sse-nio-8443-exec-34 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:17,990 |sse-nio-8443-exec-58 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:18,019 |sse-nio-8443-exec-51 |NoModule                      |O| ExamID ==========================================2
2023-12-26 09:59:18,038 |sse-nio-8443-exec-36 |NoModule                      |O| ExamID ==========================================2
