2023-12-28 12:00:08,912 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_QUESTIONS_IN_THIS_TOPIC] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-28 12:00:08,913 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [MAX_SPLIT_ATTEMPTS] of table [public.USER_EXAM_MAPPING_MASTER] of entity [UserExamMappingMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-28 12:01:44,683 |jsse-nio-8443-exec-9 |NoModule                      |O| examName is..English
2023-12-28 12:01:44,692 |jsse-nio-8443-exec-9 |NoModule                      |O| 20
2023-12-28 12:01:44,697 |jsse-nio-8443-exec-9 |NoModule                      |O| TopicName......Grammer
2023-12-28 12:01:44,698 |jsse-nio-8443-exec-9 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=20, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=20.00, topicName=Grammer}], genericvalue=[GenericEntity:ExamMaster][answersMust,null()][createdStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][createdTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][creationDate,null()][description,english language(java.lang.String)][durationMinutes,20(java.lang.Long)][enableNegativeMark,null()][examId,2(java.lang.String)][examName,English(java.lang.String)][expirationDate,null()][lastUpdatedStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][lastUpdatedTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][negativeMarkValue,null()][noOfQuestions,10(java.lang.Long)][passPercentage,35.00(java.math.BigDecimal)][questionsRandomized,null()]}
2023-12-28 12:02:43,526 |jsse-nio-8443-exec-3 |NoModule                      |O| examName is..English
2023-12-28 12:02:43,529 |jsse-nio-8443-exec-3 |NoModule                      |O| 20
2023-12-28 12:02:43,531 |jsse-nio-8443-exec-3 |NoModule                      |O| TopicName......Grammer
2023-12-28 12:02:43,531 |jsse-nio-8443-exec-3 |NoModule                      |O| 16
2023-12-28 12:02:43,537 |jsse-nio-8443-exec-3 |NoModule                      |O| TopicName......Punctuation
