2023-11-17 12:47:02,414 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-17 12:47:02,750 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\themes]
2023-11-17 12:47:02,810 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\applications]
2023-11-17 12:47:02,954 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\plugins]
2023-11-17 12:47:03,171 |main                 |ComponentContainer            |I| All components loaded
2023-11-17 12:47:03,172 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-11-17 12:47:03,173 |main                 |ContainerLoader               |I| Loading container: service-container
2023-11-17 12:47:03,176 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-11-17 12:47:03,176 |main                 |ContainerLoader               |I| Loading container: dataload-container
2023-11-17 12:47:03,235 |delegator-startup-1  |DelegatorFactoryImpl          |I| Creating new delegator [default] (delegator-startup-1)
2023-11-17 12:47:04,137 |delegator-startup-1  |ModelViewEntity               |W| [TestingCryptoRawView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: rawEncryptedValue
2023-11-17 12:47:04,137 |delegator-startup-1  |ModelViewEntity               |W| [TestingCryptoRawView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: rawSaltedEncryptedValue
2023-11-17 12:47:04,221 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-11-17 12:47:04,221 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2023-11-17 12:47:04,222 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-11-17 12:47:04,222 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2023-11-17 12:47:04,225 |delegator-startup-1  |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-11-17 12:47:04,225 |delegator-startup-1  |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: amount
2023-11-17 12:47:04,228 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-11-17 12:47:04,229 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2023-11-17 12:47:04,234 |delegator-startup-1  |ModelViewEntity               |W| [ExampleStatusDetail]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: statusDelay
2023-11-17 12:47:04,238 |delegator-startup-1  |ModelViewEntity               |W| [ProjectPhaseTaskActualRatedHoursView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totalRatedHours
2023-11-17 12:47:04,327 |delegator-startup-1  |ModelReader                   |I| Finished loading entities; #Entities=884 #ViewEntities=317 #Fields=9281 #Relationships=3010 #AutoRelationships=2209
2023-11-17 12:47:04,341 |delegator-startup-1  |GenericDelegator              |I| Doing entity definition check...
2023-11-17 12:47:04,345 |delegator-startup-1  |ModelEntityChecker            |I| [initReservedWords] array length = 1025
2023-11-17 12:47:04,435 |delegator-startup-1  |GenericDelegator              |W| =-=-=-=-= Found 1 warnings when checking the entity definitions:
2023-11-17 12:47:04,435 |delegator-startup-1  |GenericDelegator              |W| [RelFKNameGT18] The foreign key named DEPTID_IS_THE_PRIMKEY (length:21) was greater than 18 characters in length for relation department of entity employee.
2023-11-17 12:47:04,438 |OFBiz-batch-2        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgres" for entity group "org.apache.ofbiz".
2023-11-17 12:47:04,438 |OFBiz-batch-1        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgresolap" for entity group "org.apache.ofbiz.olap".
2023-11-17 12:47:04,438 |OFBiz-batch-3        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgrestenant" for entity group "org.apache.ofbiz.tenant".
2023-11-17 12:47:04,446 |OFBiz-batch-1        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-11-17 12:47:04,446 |OFBiz-batch-2        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-11-17 12:47:04,446 |OFBiz-batch-3        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-11-17 12:47:04,824 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-11-17 12:47:04,824 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-11-17 12:47:04,824 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-11-17 12:47:04,824 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-11-17 12:47:04,824 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-11-17 12:47:04,824 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-11-17 12:47:04,824 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-11-17 12:47:04,824 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-11-17 12:47:04,824 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-11-17 12:47:04,825 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-11-17 12:47:04,825 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-11-17 12:47:04,825 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-11-17 12:47:04,827 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-11-17 12:47:04,827 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-11-17 12:47:04,827 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-11-17 12:47:04,827 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-11-17 12:47:04,828 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-11-17 12:47:04,828 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-11-17 12:47:04,828 |OFBiz-batch-1        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-11-17 12:47:04,828 |OFBiz-batch-2        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-11-17 12:47:04,828 |OFBiz-batch-3        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-11-17 12:47:04,828 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation None            [false]
2023-11-17 12:47:04,828 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation None            [false]
2023-11-17 12:47:04,828 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation None            [false]
2023-11-17 12:47:04,828 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-11-17 12:47:04,828 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-11-17 12:47:04,828 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-11-17 12:47:04,828 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-11-17 12:47:04,828 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-11-17 12:47:04,828 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-11-17 12:47:04,828 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-11-17 12:47:04,828 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-11-17 12:47:04,829 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-11-17 12:47:04,829 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-11-17 12:47:04,829 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-11-17 12:47:04,829 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-11-17 12:47:04,829 |OFBiz-batch-1        |DatabaseUtil                  |I| - forward only type         [true]
2023-11-17 12:47:04,829 |OFBiz-batch-3        |DatabaseUtil                  |I| - forward only type         [true]
2023-11-17 12:47:04,829 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-11-17 12:47:04,829 |OFBiz-batch-2        |DatabaseUtil                  |I| - forward only type         [true]
2023-11-17 12:47:04,829 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-11-17 12:47:04,829 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-11-17 12:47:04,829 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-11-17 12:47:04,829 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-11-17 12:47:04,829 |OFBiz-batch-1        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-11-17 12:47:04,829 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-11-17 12:47:04,829 |OFBiz-batch-3        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-11-17 12:47:04,829 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-11-17 12:47:04,829 |OFBiz-batch-2        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-11-17 12:47:04,830 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-11-17 12:47:04,830 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-11-17 12:47:04,830 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-11-17 12:47:04,830 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-11-17 12:47:04,830 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-11-17 12:47:04,830 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-11-17 12:47:04,830 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-11-17 12:47:04,830 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-11-17 12:47:04,855 |OFBiz-batch-1        |DatabaseUtil                  |I| - max table name length     [63]
2023-11-17 12:47:04,855 |OFBiz-batch-3        |DatabaseUtil                  |I| - max table name length     [63]
2023-11-17 12:47:04,855 |OFBiz-batch-3        |DatabaseUtil                  |I| - max column name length    [63]
2023-11-17 12:47:04,855 |OFBiz-batch-1        |DatabaseUtil                  |I| - max column name length    [63]
2023-11-17 12:47:04,855 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-11-17 12:47:04,855 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-11-17 12:47:04,855 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-11-17 12:47:04,856 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-11-17 12:47:04,856 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-11-17 12:47:04,856 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-11-17 12:47:04,856 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-11-17 12:47:04,856 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-11-17 12:47:04,856 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-11-17 12:47:04,856 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-11-17 12:47:04,856 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-11-17 12:47:04,856 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-11-17 12:47:04,857 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-11-17 12:47:04,857 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-11-17 12:47:04,857 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-11-17 12:47:04,857 |OFBiz-batch-3        |DatabaseUtil                  |I| - outer joins               [true]*
2023-11-17 12:47:04,857 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-11-17 12:47:04,857 |OFBiz-batch-3        |DatabaseUtil                  |I| - limited outer joins       [true]
