2023-11-18 09:57:41,161 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [13136] -- Next runtime: Sat Nov 18 10:12:41 IST 2023
2023-11-18 09:57:41,162 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [13137] -- Next runtime: Sat Nov 18 10:12:41 IST 2023
2023-11-18 09:57:42,168 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1005] milliseconds
2023-11-18 09:57:42,173 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [12701] -- Next runtime: Sun Nov 19 00:00:00 IST 2023
2023-11-18 09:57:42,358 |OFBiz-JobQueue-1     |UtilProperties                |I| ResourceBundle OrderUiLabels (en) created in 0.127s with 1012 properties
2023-11-18 09:57:42,362 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [189] milliseconds
2023-11-18 09:57:42,368 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [12702] -- Next runtime: Sun Nov 19 00:00:00 IST 2023
2023-11-18 09:57:42,378 |OFBiz-JobQueue-1     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-11-18 09:57:42,392 |OFBiz-JobQueue-1     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-11-17 09:57:42.386]
2023-11-18 09:57:42,393 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [24] milliseconds
2023-11-18 09:57:42,398 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [12700] -- Next runtime: Sun Nov 19 00:00:00 IST 2023
2023-11-18 09:57:42,430 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-18 09:57:42,430 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [32] milliseconds
2023-11-18 09:57:42,435 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [12726] -- Next runtime: Sun Nov 19 00:00:00 IST 2023
2023-11-18 09:57:42,559 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [123] milliseconds
2023-11-18 09:57:42,565 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [12725] -- Next runtime: Sun Nov 19 00:00:00 IST 2023
2023-11-18 09:57:42,581 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [16] milliseconds
2023-11-18 09:57:42,586 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [12724] -- Next runtime: Sun Nov 19 00:00:00 IST 2023
