2023-11-23 10:36:52,037 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [14151] -- Next runtime: Thu Nov 23 10:51:52 IST 2023
2023-11-23 10:36:52,102 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [14152] -- Next runtime: Thu Nov 23 10:51:52 IST 2023
2023-11-23 10:36:52,842 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [805] milliseconds
2023-11-23 10:36:52,893 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [14153] -- Next runtime: Thu Nov 23 10:51:52 IST 2023
2023-11-23 10:36:52,896 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3] milliseconds
2023-11-23 10:36:52,900 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [14148] -- Next runtime: Thu Nov 23 11:36:52 IST 2023
2023-11-23 10:36:52,919 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-23 10:36:53,568 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1466] milliseconds
2023-11-23 10:36:53,572 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [14149] -- Next runtime: Thu Nov 23 11:36:53 IST 2023
2023-11-23 10:36:53,573 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-23 10:36:53,648 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [729] milliseconds
2023-11-23 10:36:53,648 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-23 10:36:53,648 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [748] milliseconds
2023-11-23 10:36:53,719 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [146] milliseconds
2023-11-23 10:36:53,719 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-23 10:36:53,720 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [146] milliseconds
2023-11-23 10:36:54,287 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1386] milliseconds
2023-11-23 10:36:54,292 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [14150] -- Next runtime: Thu Nov 23 11:36:54 IST 2023
2023-11-23 10:36:54,293 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-23 10:36:54,294 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2023-11-23 10:36:54,295 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-23 10:36:54,295 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [3] milliseconds
2023-11-23 10:36:54,302 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [10] milliseconds
2023-11-23 10:36:54,309 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [13706] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,346 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [37] milliseconds
2023-11-23 10:36:54,351 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [13705] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,391 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-23 10:36:54,392 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [40] milliseconds
2023-11-23 10:36:54,396 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [13916] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,398 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [2] milliseconds
2023-11-23 10:36:54,403 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [13704] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,431 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-11-23 10:36:54,432 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [29] milliseconds
2023-11-23 10:36:54,438 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [13915] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,530 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [92] milliseconds
2023-11-23 10:36:54,534 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [13913] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,643 |OFBiz-JobQueue-1     |UtilProperties                |I| ResourceBundle OrderUiLabels (en) created in 0.089s with 1012 properties
2023-11-23 10:36:54,644 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [110] milliseconds
2023-11-23 10:36:54,649 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [13912] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,675 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [26] milliseconds
2023-11-23 10:36:54,679 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [13911] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,681 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-23 10:36:54,681 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [2] milliseconds
2023-11-23 10:36:54,685 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [13910] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,687 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-23 10:36:54,687 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [1] milliseconds
2023-11-23 10:36:54,694 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [13909] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,708 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [14] milliseconds
2023-11-23 10:36:54,712 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [13908] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,730 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [17] milliseconds
2023-11-23 10:36:54,735 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [13906] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,762 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [27] milliseconds
2023-11-23 10:36:54,768 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [13904] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,769 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-11-23 10:36:54,769 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [1] milliseconds
2023-11-23 10:36:54,772 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [13902] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,795 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [21] milliseconds
2023-11-23 10:36:54,799 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [13900] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,808 |OFBiz-JobQueue-1     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-11-23 10:36:54,826 |OFBiz-JobQueue-1     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-11-22 10:36:54.819]
2023-11-23 10:36:54,827 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [27] milliseconds
2023-11-23 10:36:54,833 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [13727] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,836 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2023-11-23 10:36:54,841 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [13726] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,844 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2023-11-23 10:36:54,848 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [13725] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,851 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [2] milliseconds
2023-11-23 10:36:54,854 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [13724] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,856 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [2] milliseconds
2023-11-23 10:36:54,860 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [13723] -- Next runtime: Fri Nov 24 00:00:00 IST 2023
2023-11-23 10:36:54,862 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-23 10:36:54,862 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [2] milliseconds
