2023-11-24 12:34:46,464 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-11-24 12:34:46,473 |main                 |ConfigXMLReader               |I| controller loaded: 0.028s, 268 requests, 110 views in file:/D:/ofbiz/ofbiz-framework/applications/party/webapp/partymgr/WEB-INF/controller.xml
2023-11-24 12:34:46,474 |main                 |ConfigXMLReader               |I| controller loaded: 0.061s, 10 requests, 7 views in file:/D:/ofbiz/ofbiz-framework/plugins/myportal/webapp/myportal/WEB-INF/controller.xml
2023-11-24 12:34:46,554 |main                 |ServiceDispatcher             |I| Registering dispatcher: firstdatapaymentgateway
2023-11-24 12:34:46,554 |main                 |ServiceContainer              |I| Created new dispatcher: firstdatapaymentgateway
2023-11-24 12:34:46,555 |main                 |ControlServlet                |I| Loading webapp [firstdata], located at D:\ofbiz\ofbiz-framework\plugins\firstdatapaymentgateway\webapp\firstdata\
2023-11-24 12:34:46,574 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 2 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/firstdatapaymentgateway/webapp/firstdata/WEB-INF/controller.xml
2023-11-24 12:34:46,614 |main                 |ServiceDispatcher             |I| Registering dispatcher: webpos
2023-11-24 12:34:46,614 |main                 |ServiceContainer              |I| Created new dispatcher: webpos
2023-11-24 12:34:46,615 |main                 |ControlServlet                |I| Loading webapp [webpos], located at D:\ofbiz\ofbiz-framework\plugins\webpos\webapp\webpos\
2023-11-24 12:34:46,635 |main                 |ConfigXMLReader               |I| controller loaded: 0.002s, 69 requests, 22 views in file:/D:/ofbiz/ofbiz-framework/plugins/webpos/webapp/webpos/WEB-INF/controller.xml
2023-11-24 12:34:46,680 |main                 |ServiceDispatcher             |I| Registering dispatcher: onlineexam
2023-11-24 12:34:46,680 |main                 |ServiceContainer              |I| Created new dispatcher: onlineexam
2023-11-24 12:34:46,682 |main                 |ControlServlet                |I| Loading webapp [onlineexam], located at D:\ofbiz\ofbiz-framework\plugins\onlineexam\webapp\onlineexam\
2023-11-24 12:34:46,701 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 1 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-11-24 12:34:46,738 |main                 |ServiceDispatcher             |I| Registering dispatcher: catalog
2023-11-24 12:34:46,738 |main                 |ServiceContainer              |I| Created new dispatcher: catalog
2023-11-24 12:34:46,740 |main                 |ControlServlet                |I| Loading webapp [catalog], located at D:\ofbiz\ofbiz-framework\applications\product\webapp\catalog\
2023-11-24 12:34:46,881 |main                 |ServiceDispatcher             |I| Registering dispatcher: setup
2023-11-24 12:34:46,881 |main                 |ServiceContainer              |I| Created new dispatcher: setup
2023-11-24 12:34:46,883 |main                 |ControlServlet                |I| Loading webapp [ofbizsetup], located at D:\ofbiz\ofbiz-framework\applications\commonext\webapp\ofbizsetup\
2023-11-24 12:34:46,896 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 32 requests, 15 views in file:/D:/ofbiz/ofbiz-framework/applications/commonext/webapp/ofbizsetup/WEB-INF/controller.xml
2023-11-24 12:34:47,017 |main                 |CatalinaContainer             |I| Connector AJP/1.3 @ 8009 - not-secure [org.apache.coyote.ajp.AjpNioProtocol] started.
2023-11-24 12:34:47,018 |main                 |CatalinaContainer             |I| Connector HTTP/1.1 @ 8080 - not-secure [org.apache.coyote.http11.Http11NioProtocol] started.
2023-11-24 12:34:47,018 |main                 |CatalinaContainer             |I| Connector HTTP/1.1 @ 8443 - secure [org.apache.coyote.http11.Http11NioProtocol] started.
2023-11-24 12:34:47,018 |main                 |CatalinaContainer             |I| Started Apache Tomcat/9.0.82
2023-11-24 12:34:47,018 |main                 |ContainerLoader               |I| Started container catalina-container
2023-11-24 12:34:47,855 |OFBiz-JobPoller      |JobManager                    |I| No crashed jobs to re-schedule
2023-11-24 12:34:47,856 |OFBiz-JobPoller      |ServiceDispatcher             |I| Registering dispatcher: default
2023-11-24 12:34:47,856 |OFBiz-JobPoller      |ServiceContainer              |I| Created new dispatcher: default
2023-11-24 12:34:48,049 |OFBiz-JobQueue-1     |TransactionUtil               |W| No transaction in place, so not suspending.
2023-11-24 12:34:48,070 |OFBiz-JobQueue-1     |SequenceUtil                  |I| Got bank of sequenced IDs for [JobSandbox]; curSeqId=14400, maxSeqId=14500, bankSize=100
2023-11-24 12:34:48,080 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [14370] -- Next runtime: Fri Nov 24 12:49:48 IST 2023
