2023-11-24 12:51:27,926 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromFeature, triggered by rule on Entity: ProductFeature
2023-11-24 12:51:27,928 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-24 12:51:27,928 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromFeature] finished in [2] milliseconds
2023-11-24 12:51:27,938 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-24 12:51:27,950 |main                 |EntitySaxReader               |I| Finished 85 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoFinAccount.xml
2023-11-24 12:51:27,950 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoProductI18nData.xml
2023-11-24 12:51:27,953 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:27,960 |main                 |EntitySaxReader               |I| Finished 24 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoProductI18nData.xml
2023-11-24 12:51:27,960 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoProductCategoriesI18nData.xml
2023-11-24 12:51:27,964 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:27,976 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-24 12:51:27,992 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:PC001
2023-11-24 12:51:28,000 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:RAM1GB_BRAND
2023-11-24 12:51:28,008 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:RAM1GB_BRAND
2023-11-24 12:51:28,014 |main                 |EntitySaxReader               |I| Finished 200 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoProductCategoriesI18nData.xml
2023-11-24 12:51:28,014 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoTreeContent.xml
2023-11-24 12:51:28,017 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:28,017 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:HD250GB_BRAND
2023-11-24 12:51:28,019 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2023-11-24 12:51:28,032 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:HD500GB_BRAND
2023-11-24 12:51:28,042 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:ETH_BRAND
2023-11-24 12:51:28,051 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:MOD_BRAND
2023-11-24 12:51:28,062 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:MOTHER_BOARD
2023-11-24 12:51:28,073 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:CPU-586
2023-11-24 12:51:28,092 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:ENCHILADAS
2023-11-24 12:51:28,099 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:FAJITA_BEEF
2023-11-24 12:51:28,108 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:FAJITA_BEEF
2023-11-24 12:51:28,117 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:JALAPENOS
2023-11-24 12:51:28,132 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:PIZZA
2023-11-24 12:51:28,140 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:DOUGH
2023-11-24 12:51:28,155 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE
2023-11-24 12:51:28,167 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE
2023-11-24 12:51:28,179 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE-TM
2023-11-24 12:51:28,187 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE-TM
2023-11-24 12:51:28,198 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE-CM
2023-11-24 12:51:28,207 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE-CM
2023-11-24 12:51:28,218 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE-TP
2023-11-24 12:51:28,470 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE-TP
2023-11-24 12:51:28,480 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:SAUCE-CP
