2023-12-06 11:07:59,037 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15852] -- Next runtime: Wed Dec 06 12:07:59 IST 2023
2023-12-06 11:07:59,064 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-06 11:07:59,119 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15864] -- Next runtime: Wed Dec 06 11:22:59 IST 2023
2023-12-06 11:07:59,153 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [89] milliseconds
2023-12-06 11:07:59,154 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-06 11:07:59,154 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [117] milliseconds
2023-12-06 11:07:59,872 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [753] milliseconds
2023-12-06 11:07:59,877 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15854] -- Next runtime: Wed Dec 06 12:07:59 IST 2023
2023-12-06 11:07:59,877 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-06 11:07:59,878 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-06 11:07:59,878 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-06 11:07:59,878 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [1] milliseconds
2023-12-06 11:08:00,442 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1405] milliseconds
2023-12-06 11:08:00,447 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15855] -- Next runtime: Wed Dec 06 12:08:00 IST 2023
2023-12-06 11:08:00,447 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-06 11:08:00,448 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-06 11:08:00,448 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-06 11:08:00,448 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [1] milliseconds
2023-12-06 11:08:00,454 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [7] milliseconds
2023-12-06 11:08:00,459 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15865] -- Next runtime: Wed Dec 06 11:23:00 IST 2023
2023-12-06 11:08:00,463 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [4] milliseconds
