2023-12-07 09:37:28,932 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [16071] -- Next runtime: Thu Dec 07 09:52:28 IST 2023
2023-12-07 09:37:28,933 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [16072] -- Next runtime: Thu Dec 07 09:52:28 IST 2023
2023-12-07 09:37:30,107 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1174] milliseconds
2023-12-07 09:37:30,111 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [16073] -- Next runtime: Thu Dec 07 09:52:30 IST 2023
2023-12-07 09:37:30,115 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3] milliseconds
2023-12-07 09:37:30,120 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [16065] -- Next runtime: Thu Dec 07 10:37:30 IST 2023
2023-12-07 09:37:30,146 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-07 09:37:31,047 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2114] milliseconds
2023-12-07 09:37:31,051 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [16066] -- Next runtime: Thu Dec 07 10:37:31 IST 2023
2023-12-07 09:37:31,051 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-07 09:37:31,145 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [997] milliseconds
2023-12-07 09:37:31,145 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-07 09:37:31,145 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [1025] milliseconds
