2023-12-07 15:37:23,672 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.001s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-07 15:37:23,680 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.036s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-07 15:37:23,736 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.003s, 26 requests, 10 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-12-07 15:37:23,824 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-12-07 15:37:23,934 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.005s, 5 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2023-12-07 15:37:23,944 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.348s, 122 requests, 79 views in file:/D:/ofbiz/ofbiz-framework/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2023-12-07 15:37:25,535 |jsse-nio-8443-exec-6 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-07 15:37:25,591 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[webtools::entitymaint (Domain:https://localhost)] Request Done- total:12.211,since last([webtools::entity...):12.211]]
2023-12-07 15:37:33,116 |jsse-nio-8443-exec-7 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-07 15:37:33,122 |jsse-nio-8443-exec-7 |RequestHandler                |I| Rendering View [FindGeneric].  Hidden sessionId by default.
2023-12-07 15:37:33,140 |jsse-nio-8443-exec-7 |ScreenFactory                 |I| Got 21 screens in 0.012s from: file:/D:/ofbiz/ofbiz-framework/framework/webtools/widget/EntityScreens.xml
2023-12-07 15:37:33,353 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/prepareFind] finished in [1] milliseconds
2023-12-07 15:37:33,361 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/executeFind] finished in [8] milliseconds
2023-12-07 15:37:33,362 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/performFind] finished in [12] milliseconds
2023-12-07 15:37:33,373 |jsse-nio-8443-exec-7 |ScreenFactory                 |I| Got 11 screens in 0.009s from: file:/D:/ofbiz/ofbiz-framework/framework/webtools/widget/CommonScreens.xml
2023-12-07 15:37:33,382 |jsse-nio-8443-exec-7 |ScreenFactory                 |I| Got 29 screens in 0.008s from: file:/D:/ofbiz/ofbiz-framework/framework/common/widget/CommonScreens.xml
2023-12-07 15:37:33,453 |jsse-nio-8443-exec-7 |ScreenFactory                 |I| Got 28 screens in 0.01s from: file:/D:/ofbiz/ofbiz-framework/themes/common-theme/widget/CommonScreens.xml
2023-12-07 15:37:33,508 |jsse-nio-8443-exec-7 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2023-12-07 15:37:33,533 |jsse-nio-8443-exec-7 |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-07 15:37:33,734 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [200] milliseconds
2023-12-07 15:37:33,735 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [227] milliseconds
2023-12-07 15:37:33,762 |jsse-nio-8443-exec-7 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:0.646,since last([webtools::entity...):0.646]]
2023-12-07 15:37:35,788 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15702
2023-12-07 15:37:35,817 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15703
2023-12-07 15:37:36,823 |jsse-nio-8443-exec-2 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
