2023-12-08 12:09:20,477 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-08 12:09:20,477 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-08 12:09:20,477 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-08 12:09:20,477 |OFBiz-batch-3        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-08 12:09:20,477 |OFBiz-batch-1        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-08 12:09:20,477 |OFBiz-batch-2        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-08 12:09:20,477 |OFBiz-batch-3        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-08 12:09:20,477 |OFBiz-batch-1        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-08 12:09:20,477 |OFBiz-batch-2        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-08 12:09:20,477 |OFBiz-batch-3        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-08 12:09:20,477 |OFBiz-batch-1        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-08 12:09:20,477 |OFBiz-batch-2        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-08 12:09:20,478 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-08 12:09:20,478 |OFBiz-batch-3        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-08 12:09:20,478 |OFBiz-batch-1        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-08 12:09:20,478 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-08 12:09:20,478 |OFBiz-batch-2        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-08 12:09:20,478 |OFBiz-batch-2        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-08 12:09:20,478 |OFBiz-batch-2        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-08 12:09:20,479 |OFBiz-batch-2        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-08 12:09:20,479 |OFBiz-batch-1        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-08 12:09:20,479 |OFBiz-batch-3        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-08 12:09:20,479 |OFBiz-batch-2        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-08 12:09:20,479 |OFBiz-batch-1        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-08 12:09:20,479 |OFBiz-batch-3        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-08 12:09:20,479 |OFBiz-batch-2        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-08 12:09:20,479 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-08 12:09:20,479 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-08 12:09:20,479 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-08 12:09:20,502 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-08 12:09:20,502 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-08 12:09:20,518 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-08 12:09:20,534 |OFBiz-batch-3        |DatabaseUtil                  |I| Reviewed 8 primary key fields from database.
2023-12-08 12:09:20,536 |OFBiz-batch-1        |DatabaseUtil                  |I| Reviewed 9 primary key fields from database.
2023-12-08 12:09:20,844 |OFBiz-batch-2        |DatabaseUtil                  |I| Reviewed 1708 primary key fields from database.
2023-12-08 12:09:20,863 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [DIFFICULTY_LEVEL] of table [public.QUESTION_MASTER] of entity [QuestionMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,866 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_ANSWER_MASTER] of entity [UserAttemptAnswerMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,866 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [IS_FLAGGED] of table [public.USER_ATTEMPT_ANSWER_MASTER] of entity [UserAttemptAnswerMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,866 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [NO_OF_QUESTIONS] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,866 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_WRONG] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,866 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_CORRECT] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,866 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,867 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [CORRECT_QUESTIONS_IN_THIS_TOPIC] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,867 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,867 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_QUESTIONS_IN_THIS_TOPIC] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,867 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [MAX_SPLIT_ATTEMPTS] of table [public.USER_EXAM_MAPPING_MASTER] of entity [UserExamMappingMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-08 12:09:20,885 |main                 |ContainerLoader               |I| Started container delegator-container
2023-12-08 12:09:20,885 |main                 |ContainerLoader               |I| Starting container service-container
2023-12-08 12:09:20,885 |main                 |ContainerLoader               |I| Started container service-container
2023-12-08 12:09:20,886 |main                 |ContainerLoader               |I| Starting container catalina-container
2023-12-08 12:09:20,911 |kJoinPool-1-worker-4 |EntityEcaUtil                 |I| Loaded [2] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\accounting/entitydef/eecas.xml in loader main
2023-12-08 12:09:20,911 |kJoinPool-1-worker-3 |EntityEcaUtil                 |I| Loaded [14] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\product/entitydef/eecas.xml in loader main
2023-12-08 12:09:20,912 |kJoinPool-1-worker-2 |EntityEcaUtil                 |I| Loaded [4] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\workeffort/entitydef/eecas.xml in loader main
2023-12-08 12:09:20,911 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [11] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\content/entitydef/eecas.xml in loader main
2023-12-08 12:09:20,911 |kJoinPool-1-worker-5 |EntityEcaUtil                 |I| Loaded [3] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\order/entitydef/eecas.xml in loader main
2023-12-08 12:09:20,912 |kJoinPool-1-worker-6 |EntityEcaUtil                 |I| Loaded [15] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\lucene/entitydef/eecas_product.xml in loader main
2023-12-08 12:09:20,912 |kJoinPool-1-worker-7 |EntityEcaUtil                 |I| Loaded [1] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\projectmgr/entitydef/eecas.xml in loader main
2023-12-08 12:09:20,912 |kJoinPool-1-worker-8 |EntityEcaUtil                 |I| Loaded [0] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\solr/entitydef/eecas.xml in loader main
2023-12-08 12:09:20,987 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/groups_test.xml
2023-12-08 12:09:20,990 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/groups.xml
