2023-12-11 09:12:10,129 |Catalina-utility-2   |ControlEventListener          |I| Destroying session:  hidden sessionId by default.
2023-12-11 09:12:10,372 |Catalina-utility-2   |ControlEventListener          |I| Destroying session:  hidden sessionId by default.
2023-12-11 09:53:23,699 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-12-11 09:53:24,153 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\themes]
2023-12-11 09:53:24,240 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\applications]
2023-12-11 09:53:24,390 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\plugins]
2023-12-11 09:53:24,711 |main                 |ComponentContainer            |I| All components loaded
2023-12-11 09:53:24,711 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-12-11 09:53:24,712 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-12-11 09:53:24,722 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-12-11 09:53:24,722 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-12-11 09:53:24,724 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-12-11 09:53:24,724 |main                 |ContainerLoader               |I| Loading container: service-container
2023-12-11 09:53:24,730 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-12-11 09:53:24,731 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-12-11 09:53:25,139 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-12-11 09:53:25,143 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-12-11 09:53:25,149 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-12-11 09:53:25,150 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-12-11 09:53:25,150 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-12-11 09:53:25,181 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-12-11 09:53:25,182 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-12-11 09:53:25,183 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-12-11 09:53:25,185 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-12-11 09:53:25,185 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-12-11 09:53:25,186 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
2023-12-11 09:53:25,186 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-11 09:53:25,187 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-12-11 09:53:25,188 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-12-11 09:53:25,188 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-12-11 09:53:25,190 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-12-11 09:53:25,191 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-12-11 09:53:25,192 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-12-11 09:53:25,193 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-12-11 09:53:25,193 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-11 09:53:25,194 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2023-12-11 09:53:25,206 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_: set keyManagerAlgorithm=SunX509
2023-12-11 09:53:25,212 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreFile=framework/base/config/ofbizssl.jks
2023-12-11 09:53:25,212 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreType=JKS
2023-12-11 09:53:25,213 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyAlias=ofbiz
2023-12-11 09:53:25,213 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyPassword
2023-12-11 09:53:25,229 |main                 |CatalinaContainer             |I| Creating context [webpos]
2023-12-11 09:53:25,231 |main                 |CatalinaContainer             |I| Creating context [solr]
2023-12-11 09:53:25,231 |main                 |CatalinaContainer             |I| Creating context [scrumdemo]
2023-12-11 09:53:25,232 |main                 |CatalinaContainer             |I| Creating context [scrum]
2023-12-11 09:53:25,233 |main                 |CatalinaContainer             |I| Creating context [api-docs]
2023-12-11 09:53:25,233 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-12-11 09:53:25,233 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-12-11 09:53:25,233 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
2023-12-11 09:53:25,234 |main                 |CatalinaContainer             |I| Creating context [pricat]
2023-12-11 09:53:25,234 |main                 |CatalinaContainer             |I| Creating context [prashuDemo]
2023-12-11 09:53:25,234 |main                 |CatalinaContainer             |I| Creating context [passport]
2023-12-11 09:53:25,235 |main                 |CatalinaContainer             |I| Creating context [onlineexam]
2023-12-11 09:53:25,235 |main                 |CatalinaContainer             |I| Creating context [ofbizDemo]
2023-12-11 09:53:25,235 |main                 |CatalinaContainer             |I| Creating context [myportal]
2023-12-11 09:53:25,236 |main                 |CatalinaContainer             |I| Creating context [multiflex]
