2023-12-15 11:20:38,285 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19952] -- Next runtime: Fri Dec 15 12:20:38 IST 2023
2023-12-15 11:20:38,312 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-15 11:20:38,356 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [19960] -- Next runtime: Fri Dec 15 11:35:38 IST 2023
2023-12-15 11:20:38,452 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [140] milliseconds
2023-12-15 11:20:38,453 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-15 11:20:38,453 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [168] milliseconds
2023-12-15 11:20:39,207 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [851] milliseconds
2023-12-15 11:20:39,214 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19953] -- Next runtime: Fri Dec 15 12:20:39 IST 2023
2023-12-15 11:20:39,214 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-15 11:20:39,224 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [9] milliseconds
2023-12-15 11:20:39,225 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-15 11:20:39,225 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [11] milliseconds
2023-12-15 11:20:39,797 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1512] milliseconds
2023-12-15 11:20:39,802 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19954] -- Next runtime: Fri Dec 15 12:20:39 IST 2023
2023-12-15 11:20:39,802 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-15 11:20:39,803 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-15 11:20:39,803 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-15 11:20:39,804 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [1] milliseconds
2023-12-15 11:20:39,810 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [8] milliseconds
2023-12-15 11:20:39,814 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19961] -- Next runtime: Fri Dec 15 11:35:39 IST 2023
2023-12-15 11:20:39,816 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2] milliseconds
2023-12-15 11:20:39,822 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [19797] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:39,842 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [20] milliseconds
2023-12-15 11:20:39,846 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [19805] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:39,898 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [52] milliseconds
2023-12-15 11:20:39,903 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [19821] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:39,921 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-15 11:20:39,921 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [18] milliseconds
2023-12-15 11:20:39,924 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [19820] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:39,927 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [2] milliseconds
