2023-12-17 01:10:59,146 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field productWeight is missing
2023-12-17 01:10:59,146 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.depthUomId is missing
2023-12-17 01:10:59,146 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field depthUomId is missing
2023-12-17 01:10:59,146 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.productTypeId is missing
2023-12-17 01:10:59,146 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field productTypeId is missing
2023-12-17 01:10:59,146 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.createdDate is missing
2023-12-17 01:10:59,146 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field createdDate is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.isVariant is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field isVariant is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.largeImageUrl is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field largeImageUrl is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.requirementMethodEnumId is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field requirementMethodEnumId is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.softIdentifier is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field softIdentifier is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.binNumber is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field binNumber is missing
2023-12-17 01:10:59,147 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.quantityOnHandTotal is missing
2023-12-17 01:10:59,148 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field quantityOnHandTotal is missing
2023-12-17 01:10:59,148 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.datetimeManufactured is missing
2023-12-17 01:10:59,148 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field datetimeManufactured is missing
2023-12-17 01:10:59,148 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.expireDate is missing
2023-12-17 01:10:59,148 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field expireDate is missing
2023-12-17 01:10:59,149 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.partyId is missing
2023-12-17 01:10:59,149 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field partyId is missing
2023-12-17 01:10:59,150 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.containerId is missing
2023-12-17 01:10:59,150 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field containerId is missing
2023-12-17 01:10:59,150 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductInventoryItem.availableToPromiseTotal is missing
2023-12-17 01:10:59,150 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field availableToPromiseTotal is missing
