2023-12-18 08:17:40,652 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [20618] -- Next runtime: Mon Dec 18 08:32:40 IST 2023
2023-12-18 08:17:40,942 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [20611] -- Next runtime: Mon Dec 18 09:17:40 IST 2023
2023-12-18 08:17:41,066 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-18 08:17:43,166 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2514] milliseconds
2023-12-18 08:17:43,183 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [20619] -- Next runtime: Mon Dec 18 08:32:43 IST 2023
2023-12-18 08:17:43,189 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [6] milliseconds
2023-12-18 08:17:43,198 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [20612] -- Next runtime: Mon Dec 18 09:17:43 IST 2023
2023-12-18 08:17:43,200 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-18 08:17:43,420 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [2353] milliseconds
2023-12-18 08:17:43,422 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-18 08:17:43,423 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [2479] milliseconds
2023-12-18 08:17:43,659 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [456] milliseconds
2023-12-18 08:17:43,660 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-18 08:17:43,660 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [462] milliseconds
2023-12-18 08:17:45,640 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [4698] milliseconds
2023-12-18 08:17:45,650 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [20613] -- Next runtime: Mon Dec 18 09:17:45 IST 2023
2023-12-18 08:17:45,652 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-18 08:17:45,654 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [2] milliseconds
2023-12-18 08:17:45,656 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-18 08:17:45,656 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [5] milliseconds
2023-12-18 08:17:45,676 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [25] milliseconds
2023-12-18 08:17:45,688 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [20305] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:45,839 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-18 08:17:45,840 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [151] milliseconds
2023-12-18 08:17:45,849 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [20303] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,110 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [260] milliseconds
2023-12-18 08:17:46,118 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [20336] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,386 |OFBiz-JobQueue-1     |UtilProperties                |I| ResourceBundle OrderUiLabels (en) created in 0.199s with 1012 properties
2023-12-18 08:17:46,390 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [271] milliseconds
2023-12-18 08:17:46,397 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [20338] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,409 |OFBiz-JobQueue-1     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-12-18 08:17:46,423 |OFBiz-JobQueue-1     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-12-17 08:17:46.416]
2023-12-18 08:17:46,424 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [26] milliseconds
2023-12-18 08:17:46,430 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [20337] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,491 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [60] milliseconds
2023-12-18 08:17:46,498 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [20308] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,502 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [4] milliseconds
2023-12-18 08:17:46,509 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [20335] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,511 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-18 08:17:46,512 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [3] milliseconds
2023-12-18 08:17:46,518 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [20334] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,527 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [8] milliseconds
2023-12-18 08:17:46,536 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [20333] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,539 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [3] milliseconds
2023-12-18 08:17:46,552 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [20332] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,577 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [24] milliseconds
2023-12-18 08:17:46,586 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [20331] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,618 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [30] milliseconds
2023-12-18 08:17:46,626 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [20328] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,630 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [4] milliseconds
2023-12-18 08:17:46,638 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [20330] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,646 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [8] milliseconds
2023-12-18 08:17:46,653 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [20329] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
2023-12-18 08:17:46,690 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-18 08:17:46,691 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [37] milliseconds
2023-12-18 08:17:46,700 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [20327] -- Next runtime: Tue Dec 19 00:00:00 IST 2023
