2023-12-18 12:57:48,067 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-12-18 12:57:48,069 |main                 |EntitySaxReader               |I| Finished 7 values from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/data/OnlineexamSecurityGroupDemoData.xml
2023-12-18 12:57:48,069 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/data/OnlineexamDemoData.xml
2023-12-18 12:57:48,072 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-12-18 12:57:48,085 |main                 |EntitySaxReader               |W| Ignoring invalid field name [timeOutDays] found for the entity: UserExamMappingMaster with value=10
2023-12-18 12:57:48,085 |main                 |EntitySaxReader               |W| Ignoring invalid field name [timeOutDays] found for the entity: UserExamMappingMaster with value=10
2023-12-18 12:57:48,085 |main                 |EntitySaxReader               |W| Ignoring invalid field name [timeOutDays] found for the entity: UserExamMappingMaster with value=10
2023-12-18 12:57:48,085 |main                 |EntitySaxReader               |W| Ignoring invalid field name [timeOutDays] found for the entity: UserExamMappingMaster with value=10
2023-12-18 12:57:48,086 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-12-18 12:57:48,107 |main                 |EntitySaxReader               |I| Finished 4 values from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/data/OnlineexamDemoData.xml
2023-12-18 12:57:48,108 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/passport/data/OAuth2LinkedInSeedData.xml
2023-12-18 12:57:48,110 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-12-18 12:57:48,112 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-5005
2023-12-18 12:57:48,129 |main                 |EntitySaxReader               |I| Finished 3 values from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/passport/data/OAuth2LinkedInSeedData.xml
2023-12-18 12:57:48,129 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/passport/data/OAuth2GitHubSeedData.xml
2023-12-18 12:57:48,131 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-12-18 12:57:48,141 |main                 |EntitySaxReader               |I| Finished 3 values from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/passport/data/OAuth2GitHubSeedData.xml
2023-12-18 12:57:48,141 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/prashuDemo/data/PrashuDemoSecurityGroupDemoData.xml
2023-12-18 12:57:48,144 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-12-18 12:57:48,147 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-7000
2023-12-18 12:57:48,159 |main                 |EntitySaxReader               |I| Finished 7 values from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/prashuDemo/data/PrashuDemoSecurityGroupDemoData.xml
2023-12-18 12:57:48,159 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/prashuDemo/data/PrashuDemoDemoData.xml
2023-12-18 12:57:48,161 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-12-18 12:57:48,173 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-8544
2023-12-18 12:57:48,181 |main                 |EntitySaxReader               |I| Finished 5 values from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/prashuDemo/data/PrashuDemoDemoData.xml
2023-12-18 12:57:48,182 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/projectmgr/data/ProjectMgrSecurityGroupDemoData.xml
