2023-12-18 17:56:27,645 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-18 17:56:27,645 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-12-18 17:56:27,654 |OFBiz-batch-1        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-18 17:56:27,654 |OFBiz-batch-1        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-18 17:56:27,654 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-18 17:56:27,654 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-18 17:56:27,656 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-12-18 17:56:27,656 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-12-18 17:56:27,656 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-12-18 17:56:27,656 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-18 17:56:27,656 |OFBiz-batch-3        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-18 17:56:27,660 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-12-18 17:56:27,660 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-12-18 17:56:27,660 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-18 17:56:27,661 |OFBiz-batch-2        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-18 17:56:27,661 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-18 17:56:27,661 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-18 17:56:27,662 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-18 17:56:27,662 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-18 17:56:27,662 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-18 17:56:27,662 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-18 17:56:27,662 |OFBiz-batch-2        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-18 17:56:27,662 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-18 17:56:27,662 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-18 17:56:27,663 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-18 17:56:27,663 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-18 17:56:27,663 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-18 17:56:27,663 |OFBiz-batch-2        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-18 17:56:27,663 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-18 17:56:27,663 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-18 17:56:27,663 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-18 17:56:27,663 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-18 17:56:27,663 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-18 17:56:27,663 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-18 17:56:27,663 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-18 17:56:27,663 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-18 17:56:27,663 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-18 17:56:27,663 |OFBiz-batch-1        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-18 17:56:27,665 |OFBiz-batch-1        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-18 17:56:27,667 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-18 17:56:27,667 |OFBiz-batch-1        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-18 17:56:27,667 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-18 17:56:27,667 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-18 17:56:27,668 |OFBiz-batch-1        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-18 17:56:27,669 |OFBiz-batch-1        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-18 17:56:27,671 |OFBiz-batch-2        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-18 17:56:27,671 |OFBiz-batch-2        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-18 17:56:27,671 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent connections    [8192]
