2023-12-19 18:48:01,460 |jsse-nio-8443-exec-2 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-19 18:48:01,464 |jsse-nio-8443-exec-5 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-19 18:48:01,467 |jsse-nio-8443-exec-2 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-19 18:48:01,467 |jsse-nio-8443-exec-5 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-19 18:48:01,469 |jsse-nio-8443-exec-2 |ControlServlet                |T| [[[onlineexam::topicMasterList (Domain:https://localhost)] Request Done- total:0.033,since last([onlineexam::topi...):0.033]]
2023-12-19 18:48:01,469 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[onlineexam::topicMasterList (Domain:https://localhost)] Request Done- total:0.031,since last([onlineexam::topi...):0.031]]
2023-12-19 18:48:27,582 |jsse-nio-8443-exec-9 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-19 18:48:27,585 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[onlineexam::topicMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-19 18:48:27,586 |jsse-nio-8443-exec-9 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-19 18:48:27,661 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.001s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-19 18:48:27,666 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.032s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-19 18:48:27,667 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.056s, 17 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-19 18:48:27,668 |jsse-nio-8443-exec-9 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-19 18:48:27,672 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.TopicMasterListEvent#listOfTopic] from [request], result is [ topics displayed successfully]
2023-12-19 18:48:27,673 |jsse-nio-8443-exec-9 |RequestHandler                |W| Could not find response in request [topicMasterList] for event return [ topics displayed successfully]
