2023-12-20 13:10:14,595 |jsse-nio-8443-exec-3 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:14,595 |sse-nio-8443-exec-16 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-20 13:10:14,595 |sse-nio-8443-exec-17 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:14,595 |jsse-nio-8443-exec-3 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [error]
2023-12-20 13:10:14,595 |jsse-nio-8443-exec-3 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-20 13:10:14,595 |jsse-nio-8443-exec-3 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-20 13:10:14,596 |jsse-nio-8443-exec-7 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:14,596 |jsse-nio-8443-exec-3 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-20 13:10:14,596 |sse-nio-8443-exec-17 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [error]
2023-12-20 13:10:14,596 |sse-nio-8443-exec-17 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-20 13:10:14,597 |sse-nio-8443-exec-17 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-20 13:10:14,597 |sse-nio-8443-exec-17 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-20 13:10:14,598 |jsse-nio-8443-exec-7 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [error]
2023-12-20 13:10:14,598 |jsse-nio-8443-exec-7 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-20 13:10:14,598 |sse-nio-8443-exec-16 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-20 13:10:14,598 |jsse-nio-8443-exec-7 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-20 13:10:14,598 |sse-nio-8443-exec-15 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Done- total:0.029,since last([onlineexam::getE...):0.029]]
2023-12-20 13:10:14,598 |sse-nio-8443-exec-11 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:14,598 |jsse-nio-8443-exec-7 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-20 13:10:14,598 |sse-nio-8443-exec-15 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-20 13:10:14,599 |sse-nio-8443-exec-18 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:14,599 |sse-nio-8443-exec-12 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:14,600 |sse-nio-8443-exec-11 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [error]
2023-12-20 13:10:14,600 |jsse-nio-8443-exec-5 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:14,600 |sse-nio-8443-exec-11 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-20 13:10:14,600 |sse-nio-8443-exec-11 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-20 13:10:14,601 |sse-nio-8443-exec-11 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
