2023-12-20 22:37:34,465 |OFBiz-batch-2        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-20 22:37:34,466 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-20 22:37:34,466 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-20 22:37:34,466 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-20 22:37:34,470 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-20 22:37:34,471 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-20 22:37:34,471 |OFBiz-batch-2        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-20 22:37:34,471 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-20 22:37:34,471 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-20 22:37:34,471 |OFBiz-batch-2        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-20 22:37:34,472 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-20 22:37:34,507 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-20 22:37:34,507 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-20 22:37:34,512 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-20 22:37:34,515 |OFBiz-batch-2        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-20 22:37:34,515 |OFBiz-batch-2        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-20 22:37:34,515 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-20 22:37:34,515 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-20 22:37:34,515 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-20 22:37:34,516 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-20 22:37:34,516 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-20 22:37:34,516 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
