2023-12-20 13:34:59,208 |OFBiz-JobPoller      |JobManager                    |I| No crashed jobs to re-schedule
2023-12-20 13:34:59,208 |OFBiz-JobPoller      |ServiceDispatcher             |I| Registering dispatcher: default
2023-12-20 13:34:59,208 |OFBiz-JobPoller      |ServiceContainer              |I| Created new dispatcher: default
2023-12-20 13:35:26,717 |jsse-nio-8443-exec-6 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-20 13:35:26,717 |jsse-nio-8443-exec-7 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-20 13:35:26,757 |jsse-nio-8443-exec-7 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-20 13:35:26,757 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-20 13:35:26,773 |jsse-nio-8443-exec-7 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-20 13:35:26,777 |jsse-nio-8443-exec-7 |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-20 13:35:26,809 |jsse-nio-8443-exec-7 |SequenceUtil                  |I| Got bank of sequenced IDs for [Visitor]; curSeqId=77400, maxSeqId=77500, bankSize=100
2023-12-20 13:35:26,822 |jsse-nio-8443-exec-7 |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-20 13:35:26,826 |jsse-nio-8443-exec-7 |SequenceUtil                  |I| Got bank of sequenced IDs for [Visit]; curSeqId=83700, maxSeqId=83800, bankSize=100
2023-12-20 13:35:26,873 |jsse-nio-8443-exec-6 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-20 13:35:26,980 |jsse-nio-8443-exec-7 |ConfigXMLReader               |I| controller loaded: 0.003s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-20 13:35:26,981 |jsse-nio-8443-exec-7 |ConfigXMLReader               |I| controller loaded: 0.097s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
