2023-12-20 18:07:35,059 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 15 requests, 7 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/webapp/workeffort/WEB-INF/icalendar-controller.xml
2023-12-20 18:07:35,066 |main                 |ConfigXMLReader               |I| controller loaded: 1.131s, 94 requests, 69 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/webapp/workeffort/WEB-INF/controller.xml
2023-12-20 18:07:35,068 |main                 |ConfigXMLReader               |I| controller loaded: 1.22s, 55 requests, 36 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/marketing/webapp/sfa/WEB-INF/controller.xml
2023-12-20 18:07:35,120 |main                 |ServiceDispatcher             |I| Registering dispatcher: Humanres
2023-12-20 18:07:35,120 |main                 |ServiceContainer              |I| Created new dispatcher: Humanres
2023-12-20 18:07:35,122 |main                 |ControlServlet                |I| Loading webapp [humanres], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\humanres\webapp\humanres\
2023-12-20 18:07:35,171 |main                 |ConfigXMLReader               |I| controller loaded: 0.006s, 232 requests, 98 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/humanres/webapp/humanres/WEB-INF/controller.xml
2023-12-20 18:07:35,226 |main                 |ServiceDispatcher             |I| Registering dispatcher: partymgr
2023-12-20 18:07:35,226 |main                 |ServiceContainer              |I| Created new dispatcher: partymgr
2023-12-20 18:07:35,227 |main                 |ControlServlet                |I| Loading webapp [partymgr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\party\webapp\partymgr\
2023-12-20 18:07:35,291 |main                 |ServiceDispatcher             |I| Registering dispatcher: webtools
2023-12-20 18:07:35,291 |main                 |ServiceContainer              |I| Created new dispatcher: webtools
2023-12-20 18:07:35,293 |main                 |ControlServlet                |I| Loading webapp [webtools], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\framework\webtools\webapp\webtools\
2023-12-20 18:07:35,352 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2023-12-20 18:07:36,569 |main                 |ConfigXMLReader               |I| controller loaded: 1.244s, 122 requests, 79 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2023-12-20 18:07:36,614 |main                 |ServiceDispatcher             |I| Registering dispatcher: workeffort
2023-12-20 18:07:36,614 |main                 |ServiceContainer              |I| Created new dispatcher: workeffort
2023-12-20 18:07:36,616 |main                 |ControlServlet                |I| Loading webapp [workeffort], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\workeffort\webapp\workeffort\
2023-12-20 18:07:36,643 |main                 |ServiceDispatcher             |I| Registering dispatcher: scrum
2023-12-20 18:07:36,643 |main                 |ServiceContainer              |I| Created new dispatcher: scrum
2023-12-20 18:07:36,644 |main                 |ControlServlet                |I| Loading webapp [scrum], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\scrum\webapp\scrum\
2023-12-20 18:07:36,691 |main                 |ConfigXMLReader               |I| controller loaded: 0.003s, 207 requests, 81 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/scrum/webapp/scrum/WEB-INF/controller.xml
2023-12-20 18:07:41,564 |main                 |ServiceDispatcher             |I| Registering dispatcher: solr
2023-12-20 18:07:41,564 |main                 |ServiceContainer              |I| Created new dispatcher: solr
2023-12-20 18:07:41,566 |main                 |ControlServlet                |I| Loading webapp [solr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\solr\webapp\solr\
2023-12-20 18:07:41,605 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-20 18:07:41,607 |main                 |ConfigXMLReader               |I| controller loaded: 0.011s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-20 18:07:41,616 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/webapp/WEB-INF/controller.xml
2023-12-20 18:07:41,616 |main                 |ConfigXMLReader               |I| controller loaded: 0.03s, 4 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/solr/webapp/solr/WEB-INF/controller.xml
2023-12-20 18:07:41,672 |main                 |ServiceDispatcher             |I| Registering dispatcher: projectmgr
2023-12-20 18:07:41,672 |main                 |ServiceContainer              |I| Created new dispatcher: projectmgr
2023-12-20 18:07:41,673 |main                 |ControlServlet                |I| Loading webapp [projectmgr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\projectmgr\webapp\projectmgr\
2023-12-20 18:07:41,744 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-12-20 18:07:41,753 |main                 |ConfigXMLReader               |I| controller loaded: 0.021s, 539 requests, 178 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/webapp/catalog/WEB-INF/controller.xml
2023-12-20 18:07:41,798 |main                 |ConfigXMLReader               |I| controller loaded: 0.005s, 347 requests, 134 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/content/webapp/content/WEB-INF/controller.xml
2023-12-20 18:07:41,804 |main                 |ConfigXMLReader               |I| controller loaded: 0.033s, 380 requests, 153 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/webapp/ordermgr/WEB-INF/controller.xml
2023-12-20 18:07:41,836 |main                 |ConfigXMLReader               |I| controller loaded: 0.012s, 518 requests, 247 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/accounting/WEB-INF/controller.xml
2023-12-20 18:07:41,839 |main                 |ConfigXMLReader               |I| controller loaded: 0.127s, 125 requests, 50 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/projectmgr/webapp/projectmgr/WEB-INF/controller.xml
2023-12-20 18:07:41,910 |main                 |ControlServlet                |I| Loading webapp [ecommerce], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\ecommerce\webapp\ecommerce\
2023-12-20 18:07:41,934 |main                 |ConfigXMLReader               |I| controller loaded: 0.007s, 290 requests, 96 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ecommerce/webapp/ecommerce/WEB-INF/controller.xml
2023-12-20 18:07:41,971 |main                 |ControlServlet                |I| Loading webapp [scrumdemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\scrum\webapp\demotest\
2023-12-20 18:07:42,009 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 2 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/scrum/webapp/demotest/WEB-INF/controller.xml
2023-12-20 18:07:42,043 |main                 |ServiceDispatcher             |I| Registering dispatcher: lucene
2023-12-20 18:07:42,043 |main                 |ServiceContainer              |I| Created new dispatcher: lucene
2023-12-20 18:07:42,045 |main                 |ControlServlet                |I| Loading webapp [content], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\lucene\webapp\content\
2023-12-20 18:07:42,071 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 3 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/lucene/webapp/content/WEB-INF/controller.xml
2023-12-20 18:07:42,104 |main                 |ControlServlet                |I| Loading webapp [pricat], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\pricat\webapp\pricat\
2023-12-20 18:07:42,131 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 3 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/pricat/webapp/pricat/WEB-INF/controller.xml
2023-12-20 18:07:42,195 |main                 |ServiceDispatcher             |I| Registering dispatcher: CmsSite
2023-12-20 18:07:42,195 |main                 |ServiceContainer              |I| Created new dispatcher: CmsSite
2023-12-20 18:07:42,196 |main                 |ControlServlet                |I| Loading webapp [cmssite], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\cmssite\webapp\cmssite\
2023-12-20 18:07:42,214 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 1 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/cmssite/webapp/cmssite/WEB-INF/controller.xml
2023-12-20 18:07:42,242 |main                 |ServiceDispatcher             |I| Registering dispatcher: prashuDemo
2023-12-20 18:07:42,243 |main                 |ServiceContainer              |I| Created new dispatcher: prashuDemo
2023-12-20 18:07:42,245 |main                 |ControlServlet                |I| Loading webapp [prashuDemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\prashuDemo\webapp\prashuDemo\
2023-12-20 18:07:42,276 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 3 requests, 3 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/prashuDemo/webapp/prashuDemo/WEB-INF/controller.xml
2023-12-20 18:07:42,309 |main                 |ServiceDispatcher             |I| Registering dispatcher: ismgr
2023-12-20 18:07:42,309 |main                 |ServiceContainer              |I| Created new dispatcher: ismgr
2023-12-20 18:07:42,311 |main                 |ControlServlet                |I| Loading webapp [ismgr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\assetmaint\webapp\ismgr\
2023-12-20 18:07:42,347 |main                 |ConfigXMLReader               |I| controller loaded: 0.003s, 243 requests, 95 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/webapp/facility/WEB-INF/controller.xml
2023-12-20 18:07:42,348 |main                 |ConfigXMLReader               |I| controller loaded: 0.016s, 13 requests, 8 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/assetmaint/webapp/ismgr/WEB-INF/controller.xml
2023-12-20 18:07:42,439 |main                 |ServiceDispatcher             |I| Registering dispatcher: assetmaint
2023-12-20 18:07:42,439 |main                 |ServiceContainer              |I| Created new dispatcher: assetmaint
2023-12-20 18:07:42,441 |main                 |ControlServlet                |I| Loading webapp [assetmaint], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\assetmaint\webapp\assetmaint\
2023-12-20 18:07:42,476 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 17 requests, 11 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/assetmaint/webapp/assetmaint/WEB-INF/controller.xml
2023-12-20 18:07:42,507 |main                 |ServiceDispatcher             |I| Registering dispatcher: myportal
2023-12-20 18:07:42,507 |main                 |ServiceContainer              |I| Created new dispatcher: myportal
2023-12-20 18:07:42,509 |main                 |ControlServlet                |I| Loading webapp [myportal], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\myportal\webapp\myportal\
2023-12-20 18:07:42,531 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 10 requests, 7 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/myportal/webapp/myportal/WEB-INF/controller.xml
2023-12-20 18:07:42,584 |main                 |ServiceDispatcher             |I| Registering dispatcher: firstdatapaymentgateway
2023-12-20 18:07:42,584 |main                 |ServiceContainer              |I| Created new dispatcher: firstdatapaymentgateway
