2023-12-24 08:25:31,824 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.016,since last([onlineexam::exam...):0.016]]
2023-12-24 08:25:31,921 |sse-nio-8443-exec-16 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:31,922 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:31,922 |jsse-nio-8443-exec-4 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:31,922 |sse-nio-8443-exec-16 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:31,923 |jsse-nio-8443-exec-4 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:31,923 |sse-nio-8443-exec-16 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:31,923 |sse-nio-8443-exec-16 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:31,923 |jsse-nio-8443-exec-4 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:31,923 |jsse-nio-8443-exec-4 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:31,923 |sse-nio-8443-exec-16 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:31,924 |jsse-nio-8443-exec-4 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:31,924 |sse-nio-8443-exec-16 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:31,925 |sse-nio-8443-exec-16 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:31,925 |jsse-nio-8443-exec-4 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:31,926 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.004,since last([onlineexam::exam...):0.004]]
2023-12-24 08:25:31,926 |sse-nio-8443-exec-16 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.005,since last([onlineexam::exam...):0.005]]
2023-12-24 08:25:31,946 |sse-nio-8443-exec-13 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:31,948 |sse-nio-8443-exec-13 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:31,949 |sse-nio-8443-exec-13 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:31,949 |sse-nio-8443-exec-13 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:31,950 |sse-nio-8443-exec-13 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:31,951 |sse-nio-8443-exec-13 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:31,951 |sse-nio-8443-exec-13 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:31,953 |sse-nio-8443-exec-13 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.007,since last([onlineexam::exam...):0.007]]
2023-12-24 08:25:32,064 |sse-nio-8443-exec-15 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,066 |sse-nio-8443-exec-15 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,067 |sse-nio-8443-exec-15 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,067 |sse-nio-8443-exec-15 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,067 |sse-nio-8443-exec-15 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,068 |sse-nio-8443-exec-15 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,068 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,068 |sse-nio-8443-exec-15 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,070 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,070 |jsse-nio-8443-exec-6 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,072 |jsse-nio-8443-exec-6 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,072 |jsse-nio-8443-exec-6 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,072 |jsse-nio-8443-exec-6 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,073 |jsse-nio-8443-exec-6 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,075 |jsse-nio-8443-exec-6 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,079 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,080 |jsse-nio-8443-exec-8 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,080 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,080 |jsse-nio-8443-exec-8 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,081 |jsse-nio-8443-exec-8 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,081 |jsse-nio-8443-exec-8 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,081 |jsse-nio-8443-exec-8 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,082 |jsse-nio-8443-exec-5 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,082 |jsse-nio-8443-exec-8 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,083 |jsse-nio-8443-exec-5 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,083 |jsse-nio-8443-exec-5 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,083 |jsse-nio-8443-exec-5 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,084 |jsse-nio-8443-exec-5 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,085 |jsse-nio-8443-exec-5 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,086 |sse-nio-8443-exec-15 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.022,since last([onlineexam::exam...):0.022]]
2023-12-24 08:25:32,086 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.016,since last([onlineexam::exam...):0.016]]
2023-12-24 08:25:32,086 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.017,since last([onlineexam::exam...):0.017]]
2023-12-24 08:25:32,086 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.007,since last([onlineexam::exam...):0.007]]
2023-12-24 08:25:32,087 |jsse-nio-8443-exec-1 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,088 |jsse-nio-8443-exec-1 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,088 |jsse-nio-8443-exec-1 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,089 |jsse-nio-8443-exec-1 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,089 |jsse-nio-8443-exec-1 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,091 |jsse-nio-8443-exec-1 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,092 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.012,since last([onlineexam::exam...):0.012]]
2023-12-24 08:25:32,183 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,184 |sse-nio-8443-exec-14 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,184 |sse-nio-8443-exec-10 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,185 |sse-nio-8443-exec-10 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,185 |sse-nio-8443-exec-10 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,185 |sse-nio-8443-exec-10 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,185 |sse-nio-8443-exec-14 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,186 |sse-nio-8443-exec-10 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,186 |sse-nio-8443-exec-14 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,186 |sse-nio-8443-exec-10 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,187 |sse-nio-8443-exec-14 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,187 |sse-nio-8443-exec-14 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,187 |sse-nio-8443-exec-14 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,188 |sse-nio-8443-exec-14 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,201 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,202 |jsse-nio-8443-exec-4 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,202 |jsse-nio-8443-exec-4 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,203 |jsse-nio-8443-exec-4 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,203 |jsse-nio-8443-exec-4 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,203 |jsse-nio-8443-exec-4 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,204 |jsse-nio-8443-exec-4 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,206 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.022,since last([onlineexam::exam...):0.022]]
2023-12-24 08:25:32,206 |sse-nio-8443-exec-14 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.022,since last([onlineexam::exam...):0.022]]
2023-12-24 08:25:32,206 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.005,since last([onlineexam::exam...):0.005]]
2023-12-24 08:25:32,220 |sse-nio-8443-exec-11 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,221 |sse-nio-8443-exec-11 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,222 |sse-nio-8443-exec-11 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,222 |sse-nio-8443-exec-11 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,222 |sse-nio-8443-exec-11 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,223 |sse-nio-8443-exec-11 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,225 |sse-nio-8443-exec-11 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,227 |sse-nio-8443-exec-11 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.007,since last([onlineexam::exam...):0.007]]
2023-12-24 08:25:32,321 |sse-nio-8443-exec-13 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,323 |sse-nio-8443-exec-13 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,325 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,326 |sse-nio-8443-exec-13 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,326 |sse-nio-8443-exec-13 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,326 |sse-nio-8443-exec-13 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,326 |sse-nio-8443-exec-13 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,326 |jsse-nio-8443-exec-9 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,327 |sse-nio-8443-exec-13 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,327 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,328 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
