2023-12-26 15:36:56,886 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-12-26 15:36:56,886 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-12-26 15:36:56,886 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
2023-12-26 15:36:56,886 |main                 |CatalinaContainer             |I| Creating context [pricat]
2023-12-26 15:36:56,887 |main                 |CatalinaContainer             |I| Creating context [prashuDemo]
2023-12-26 15:36:56,887 |main                 |CatalinaContainer             |I| Creating context [passport]
2023-12-26 15:36:56,887 |main                 |CatalinaContainer             |I| Creating context [onlineexam]
2023-12-26 15:36:56,887 |main                 |CatalinaContainer             |I| Creating context [ofbizDemo]
2023-12-26 15:36:56,887 |main                 |CatalinaContainer             |I| Creating context [myportal]
2023-12-26 15:36:56,888 |main                 |CatalinaContainer             |I| Creating context [multiflex]
2023-12-26 15:36:56,888 |main                 |CatalinaContainer             |I| Creating context [msggateway]
2023-12-26 15:36:56,888 |main                 |CatalinaContainer             |I| Creating context [content]
2023-12-26 15:36:56,888 |main                 |CatalinaContainer             |I| Creating context [firstdata]
2023-12-26 15:36:56,888 |main                 |CatalinaContainer             |I| Creating context [exampleext]
2023-12-26 15:36:56,889 |main                 |CatalinaContainer             |I| Creating context [example]
2023-12-26 15:36:56,889 |main                 |CatalinaContainer             |I| Creating context [ecomseo]
2023-12-26 15:36:56,890 |main                 |CatalinaContainer             |I| Creating context [ecommerce]
2023-12-26 15:36:56,891 |main                 |CatalinaContainer             |I| Creating context [ebay]
2023-12-26 15:36:56,891 |main                 |CatalinaContainer             |I| Creating context [cmssite]
2023-12-26 15:36:56,891 |main                 |CatalinaContainer             |I| Creating context [bi]
2023-12-26 15:36:56,891 |main                 |CatalinaContainer             |I| Creating context [ismgr]
2023-12-26 15:36:56,891 |main                 |CatalinaContainer             |I| Creating context [assetmaint]
2023-12-26 15:36:56,892 |main                 |CatalinaContainer             |I| Creating context [ordermgr-js]
2023-12-26 15:36:56,892 |main                 |CatalinaContainer             |I| Creating context [ofbizsetup]
2023-12-26 15:36:56,892 |main                 |CatalinaContainer             |I| Creating context [SalesForceAutomation]
2023-12-26 15:36:56,892 |main                 |CatalinaContainer             |I| Creating context [marketing]
2023-12-26 15:36:56,892 |main                 |CatalinaContainer             |I| Creating context [order]
2023-12-26 15:36:56,893 |main                 |CatalinaContainer             |I| Creating context [humanres]
2023-12-26 15:36:56,893 |main                 |CatalinaContainer             |I| Creating context [ap]
2023-12-26 15:36:56,893 |main                 |CatalinaContainer             |I| Creating context [ar]
2023-12-26 15:36:56,893 |main                 |CatalinaContainer             |I| Creating context [accounting]
2023-12-26 15:36:56,894 |main                 |CatalinaContainer             |I| Creating context [manufacturing]
2023-12-26 15:36:56,894 |main                 |CatalinaContainer             |I| Creating context [facility]
2023-12-26 15:36:56,906 |main                 |CatalinaContainer             |I| Creating context [catalog]
2023-12-26 15:36:56,906 |main                 |CatalinaContainer             |I| Creating context [ical]
2023-12-26 15:36:56,910 |main                 |CatalinaContainer             |I| Creating context [workeffort]
2023-12-26 15:36:56,911 |main                 |CatalinaContainer             |I| Creating context [contentimages]
2023-12-26 15:36:56,911 |main                 |CatalinaContainer             |I| Duplicate webapp mount (overridding); not loading : content / C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\content\webapp\content
2023-12-26 15:36:56,911 |main                 |CatalinaContainer             |I| Creating context [party]
2023-12-26 15:36:56,912 |main                 |CatalinaContainer             |I| Creating context [tomahawk]
2023-12-26 15:36:56,912 |main                 |CatalinaContainer             |I| Creating context [rainbowstone]
2023-12-26 15:36:56,912 |main                 |CatalinaContainer             |I| Creating context [helveticus]
2023-12-26 15:36:56,912 |main                 |CatalinaContainer             |I| Creating context [flatgrey]
2023-12-26 15:36:56,913 |main                 |CatalinaContainer             |I| Creating context [images]
2023-12-26 15:36:56,913 |main                 |CatalinaContainer             |I| Creating context [common-theme]
2023-12-26 15:36:56,913 |main                 |CatalinaContainer             |I| Creating context [bluelight]
2023-12-26 15:36:56,913 |main                 |CatalinaContainer             |I| Creating context [webtools]
2023-12-26 15:36:57,474 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/scrum])
2023-12-26 15:36:57,475 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/webpos])
2023-12-26 15:36:57,477 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/solr])
2023-12-26 15:36:57,486 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/scrumdemo])
2023-12-26 15:36:57,569 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/projectmgr])
2023-12-26 15:36:57,604 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/rest])
2023-12-26 15:36:57,625 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/docs])
2023-12-26 15:36:57,637 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/pricatdemo])
2023-12-26 15:36:57,689 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/prashuDemo])
2023-12-26 15:36:57,712 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/onlineexam])
2023-12-26 15:36:57,731 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/pricat])
2023-12-26 15:36:57,751 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/passport])
2023-12-26 15:36:57,768 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ofbizDemo])
2023-12-26 15:36:57,862 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/multiflex])
2023-12-26 15:36:57,903 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/content])
2023-12-26 15:36:57,944 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/myportal])
2023-12-26 15:36:57,955 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/msggateway])
2023-12-26 15:36:57,985 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/firstdata])
2023-12-26 15:36:57,995 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/exampleext])
2023-12-26 15:36:58,037 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/example])
2023-12-26 15:36:58,054 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ebay])
2023-12-26 15:36:58,057 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ecomseo])
