2023-12-27 17:12:18,866 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.019s, 23 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-27 17:12:18,868 |jsse-nio-8443-exec-9 |NoModule                      |O| null
2023-12-27 17:12:18,868 |jsse-nio-8443-exec-9 |NoModule                      |O| 10
2023-12-27 17:12:18,868 |jsse-nio-8443-exec-9 |NoModule                      |O| topicmaster...[GenericEntity:TopicMaster][createdStamp,null()][createdTxStamp,null()][lastUpdatedStamp,2023-12-27 10:37:21.951(java.sql.Timestamp)][lastUpdatedTxStamp,2023-12-27 10:37:21.894(java.sql.Timestamp)][topicId,10(java.lang.String)][topicName,Fifthtopic(java.lang.String)]
2023-12-27 17:12:18,868 |jsse-nio-8443-exec-9 |NoModule                      |O| list of questions....[]
2023-12-27 17:12:18,868 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.QuestionTopicEvent#viewQuestions] from [request], result is [error]
2023-12-27 17:12:18,868 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-27 17:12:18,869 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-27 17:12:18,870 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-27 17:12:18,873 |jsse-nio-8443-exec-9 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-27 17:12:18,889 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[onlineexam::viewQuestions (Domain:https://localhost)] Request Done- total:0.056,since last([onlineexam::view...):0.056]]
2023-12-27 17:12:19,950 |jsse-nio-8443-exec-4 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
