2023-12-27 19:19:59,253 |jsse-nio-8443-exec-9 |RequestHandler                |E| Request getExamTopicEvent caused an error with the following message: Error calling event: org.apache.ofbiz.webapp.event.EventHandlerException: Problems processing event: java.lang.NullPointerException: Cannot invoke "org.apache.ofbiz.entity.GenericValue.getString(String)" because "genericvalue" is null (Cannot invoke "org.apache.ofbiz.entity.GenericValue.getString(String)" because "genericvalue" is null)
2023-12-27 19:19:59,254 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-27 19:19:59,259 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-27 19:19:59,265 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-27 19:19:59,293 |jsse-nio-8443-exec-9 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-27 19:19:59,304 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Done- total:0.168,since last([onlineexam::getE...):0.168]]
2023-12-27 19:20:12,801 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [30902] -- Next runtime: Wed Dec 27 19:35:12 IST 2023
2023-12-27 19:20:12,807 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [30903] -- Next runtime: Wed Dec 27 19:35:12 IST 2023
2023-12-27 19:20:14,407 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1605] milliseconds
2023-12-27 19:20:16,455 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3648] milliseconds
2023-12-27 19:20:38,312 |sse-nio-8443-exec-10 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-27 19:20:38,314 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-27 19:20:38,314 |sse-nio-8443-exec-10 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-27 19:20:38,369 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-27 19:20:38,370 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.009s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-27 19:20:38,370 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.018s, 23 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-27 19:20:38,371 |sse-nio-8443-exec-10 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-27 19:20:38,372 |sse-nio-8443-exec-10 |NoModule                      |O| ExamID:null
2023-12-27 19:20:38,378 |sse-nio-8443-exec-10 |NoModule                      |O| listofexam  : {durationMinutes=20, questionsRandomized=null, noOfQuestions=10, examName=English, negativeMarkValue=null, examId=2, enableNegativeMark=null, description=english language, answersMust=null, creationDate=null, passPercentage=35.00, expirationDate=null}
2023-12-27 19:20:38,378 |sse-nio-8443-exec-10 |NoModule                      |O| listofexam  : {durationMinutes=20, questionsRandomized=null, noOfQuestions=10, examName=Mathematics, negativeMarkValue=null, examId=3, enableNegativeMark=null, description=Mathematics language, answersMust=null, creationDate=null, passPercentage=35.00, expirationDate=null}
