2023-12-28 11:21:18,605 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/accounting])
2023-12-28 11:21:18,652 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/catalog])
2023-12-28 11:21:18,671 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/iCalendar])
2023-12-28 11:21:18,696 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/workeffort])
2023-12-28 11:21:18,708 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/contentimages])
2023-12-28 11:21:18,750 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/partymgr])
2023-12-28 11:21:18,775 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/rainbowstone])
2023-12-28 11:21:18,798 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/helveticus])
2023-12-28 11:21:18,814 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/flatgrey])
2023-12-28 11:21:18,825 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/common])
2023-12-28 11:21:18,840 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/tomahawk])
2023-12-28 11:21:18,847 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/images])
2023-12-28 11:21:18,871 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/webtools])
2023-12-28 11:21:18,886 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/bluelight])
2023-12-28 11:21:18,887 |main                 |ContainerLoader               |I| Loaded container: catalina-container
2023-12-28 11:21:18,888 |main                 |ContainerLoader               |I| [Startup] Starting containers...
2023-12-28 11:21:18,888 |main                 |ContainerLoader               |I| Starting container component-container
2023-12-28 11:21:18,888 |main                 |ContainerLoader               |I| Started container component-container
2023-12-28 11:21:18,888 |main                 |ContainerLoader               |I| Starting container admin-container
2023-12-28 11:21:18,889 |main                 |ContainerLoader               |I| Started container admin-container
2023-12-28 11:21:18,889 |main                 |ContainerLoader               |I| Starting container delegator-container
2023-12-28 11:21:18,903 |delegator-startup-1  |DelegatorFactoryImpl          |I| Creating new delegator [default] (delegator-startup-1)
2023-12-28 11:21:20,475 |delegator-startup-1  |ModelViewEntity               |W| [TestingCryptoRawView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: rawEncryptedValue
2023-12-28 11:21:20,475 |delegator-startup-1  |ModelViewEntity               |W| [TestingCryptoRawView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: rawSaltedEncryptedValue
2023-12-28 11:21:20,592 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-12-28 11:21:20,592 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2023-12-28 11:21:20,592 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-12-28 11:21:20,593 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2023-12-28 11:21:20,596 |delegator-startup-1  |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-12-28 11:21:20,596 |delegator-startup-1  |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: amount
2023-12-28 11:21:20,600 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-12-28 11:21:20,600 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2023-12-28 11:21:20,607 |delegator-startup-1  |ModelViewEntity               |W| [ExampleStatusDetail]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: statusDelay
2023-12-28 11:21:20,611 |delegator-startup-1  |ModelViewEntity               |W| [ProjectPhaseTaskActualRatedHoursView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totalRatedHours
2023-12-28 11:21:20,685 |delegator-startup-1  |ModelReader                   |I| Finished loading entities; #Entities=892 #ViewEntities=319 #Fields=9378 #Relationships=3022 #AutoRelationships=2221
2023-12-28 11:21:20,695 |delegator-startup-1  |GenericDelegator              |I| Doing entity definition check...
2023-12-28 11:21:20,697 |delegator-startup-1  |ModelEntityChecker            |I| [initReservedWords] array length = 1025
2023-12-28 11:21:20,811 |delegator-startup-1  |GenericDelegator              |W| =-=-=-=-= Found 2 warnings when checking the entity definitions:
2023-12-28 11:21:20,811 |delegator-startup-1  |GenericDelegator              |W| [FieldNameGT30] Column name [CORRECT_QUESTIONS_IN_THIS_TOPIC] of entity UserAttemptTopicMaster is longer than 30 characters.
2023-12-28 11:21:20,811 |delegator-startup-1  |GenericDelegator              |W| [RelFKNameGT18] The foreign key named DEPTID_IS_THE_PRIMKEY (length:21) was greater than 18 characters in length for relation department of entity employee.
2023-12-28 11:21:20,814 |OFBiz-batch-2        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgres" for entity group "org.apache.ofbiz".
2023-12-28 11:21:20,814 |OFBiz-batch-3        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgrestenant" for entity group "org.apache.ofbiz.tenant".
2023-12-28 11:21:20,817 |OFBiz-batch-1        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgresolap" for entity group "org.apache.ofbiz.olap".
2023-12-28 11:21:20,821 |OFBiz-batch-1        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-12-28 11:21:20,821 |OFBiz-batch-2        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-12-28 11:21:20,824 |OFBiz-batch-3        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-12-28 11:21:21,258 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-12-28 11:21:21,258 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-12-28 11:21:21,259 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-12-28 11:21:21,259 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-12-28 11:21:21,259 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-12-28 11:21:21,260 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-12-28 11:21:21,260 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-12-28 11:21:21,260 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-12-28 11:21:21,260 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-12-28 11:21:21,261 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-12-28 11:21:21,261 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-12-28 11:21:21,263 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-12-28 11:21:21,268 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-12-28 11:21:21,268 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-28 11:21:21,268 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-12-28 11:21:21,269 |OFBiz-batch-1        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-28 11:21:21,269 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-28 11:21:21,269 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-28 11:21:21,269 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-28 11:21:21,269 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-28 11:21:21,270 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-28 11:21:21,270 |OFBiz-batch-1        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-28 11:21:21,270 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-28 11:21:21,271 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-28 11:21:21,271 |OFBiz-batch-1        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-28 11:21:21,271 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-28 11:21:21,272 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-28 11:21:21,272 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-28 11:21:21,274 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-28 11:21:21,275 |OFBiz-batch-2        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-28 11:21:21,276 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-28 11:21:21,276 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-28 11:21:21,277 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-28 11:21:21,277 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-28 11:21:21,277 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-28 11:21:21,278 |OFBiz-batch-2        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-28 11:21:21,278 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-28 11:21:21,278 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-28 11:21:21,279 |OFBiz-batch-2        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-28 11:21:21,279 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-28 11:21:21,279 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-28 11:21:21,281 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-28 11:21:21,283 |OFBiz-batch-1        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-28 11:21:21,283 |OFBiz-batch-1        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-28 11:21:21,283 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-28 11:21:21,284 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-28 11:21:21,285 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-28 11:21:21,285 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-28 11:21:21,286 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-28 11:21:21,286 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-28 11:21:21,286 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-28 11:21:21,286 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-28 11:21:21,287 |OFBiz-batch-1        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-28 11:21:21,287 |OFBiz-batch-1        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-28 11:21:21,287 |OFBiz-batch-1        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-28 11:21:21,287 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-28 11:21:21,287 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-28 11:21:21,288 |OFBiz-batch-1        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-28 11:21:21,288 |OFBiz-batch-1        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-28 11:21:21,288 |OFBiz-batch-1        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-28 11:21:21,288 |OFBiz-batch-1        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-28 11:21:21,289 |OFBiz-batch-1        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-28 11:21:21,290 |OFBiz-batch-1        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-28 11:21:21,290 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-28 11:21:21,292 |OFBiz-batch-2        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-28 11:21:21,292 |OFBiz-batch-2        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-28 11:21:21,292 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-28 11:21:21,292 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-28 11:21:21,293 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-28 11:21:21,294 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-28 11:21:21,295 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-28 11:21:21,295 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-28 11:21:21,296 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-28 11:21:21,296 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-28 11:21:21,296 |OFBiz-batch-2        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-28 11:21:21,297 |OFBiz-batch-2        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-28 11:21:21,297 |OFBiz-batch-2        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-28 11:21:21,298 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-28 11:21:21,298 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-28 11:21:21,298 |OFBiz-batch-2        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-28 11:21:21,299 |OFBiz-batch-2        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-28 11:21:21,300 |OFBiz-batch-2        |DatabaseUtil                  |I| - alter table add column    [true]*
