2024-01-04 08:41:56,550 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [36757135] milliseconds
2024-01-04 08:41:56,559 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [35413] -- Next runtime: Thu Jan 04 08:56:56 IST 2024
2024-01-04 08:42:00,329 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [36747324] milliseconds
2024-01-04 08:42:00,339 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [35414] -- Next runtime: Thu Jan 04 08:57:00 IST 2024
2024-01-04 08:42:00,348 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [6] milliseconds
2024-01-04 08:42:00,358 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [35415] -- Next runtime: Thu Jan 04 08:57:00 IST 2024
2024-01-04 08:42:00,363 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [5] milliseconds
2024-01-04 08:42:00,373 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [35416] -- Next runtime: Thu Jan 04 08:57:00 IST 2024
2024-01-04 08:42:00,426 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [51] milliseconds
2024-01-04 08:42:00,455 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [35417] -- Next runtime: Thu Jan 04 08:57:00 IST 2024
2024-01-04 08:42:00,483 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [28] milliseconds
2024-01-04 08:42:00,521 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [35418] -- Next runtime: Thu Jan 04 09:42:00 IST 2024
2024-01-04 08:42:00,681 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2024-01-04 08:42:03,092 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [6533] milliseconds
2024-01-04 08:42:03,423 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [2741] milliseconds
2024-01-04 08:42:03,424 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2024-01-04 08:42:03,424 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [2901] milliseconds
2024-01-04 08:42:03,436 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [2915] milliseconds
2024-01-04 08:42:08,607 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [35424] -- Next runtime: Thu Jan 04 08:57:08 IST 2024
2024-01-04 08:42:08,609 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [35419] -- Next runtime: Thu Jan 04 09:42:08 IST 2024
2024-01-04 08:42:08,610 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2024-01-04 08:42:08,612 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [4] milliseconds
2024-01-04 08:42:08,612 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2024-01-04 08:42:08,613 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2024-01-04 08:42:08,613 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4] milliseconds
2024-01-04 08:42:08,618 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [35420] -- Next runtime: Thu Jan 04 09:42:08 IST 2024
2024-01-04 08:42:08,620 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2024-01-04 08:42:08,622 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2024-01-04 08:42:08,623 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2024-01-04 08:42:08,623 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4] milliseconds
2024-01-04 08:42:10,052 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1442] milliseconds
2024-01-04 08:42:10,069 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [35421] -- Next runtime: Thu Jan 04 09:42:10 IST 2024
2024-01-04 08:42:10,071 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2024-01-04 08:42:10,073 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2024-01-04 08:42:10,073 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2024-01-04 08:42:10,073 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [3] milliseconds
2024-01-04 08:42:10,084 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [15] milliseconds
2024-01-04 08:42:10,089 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [35422] -- Next runtime: Thu Jan 04 09:42:10 IST 2024
2024-01-04 08:42:10,091 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2024-01-04 08:42:10,093 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2024-01-04 08:42:10,094 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2024-01-04 08:42:10,094 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4] milliseconds
2024-01-04 08:42:10,107 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [16] milliseconds
2024-01-04 08:42:10,113 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [35423] -- Next runtime: Thu Jan 04 09:42:10 IST 2024
2024-01-04 08:42:10,114 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2024-01-04 08:42:10,116 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2024-01-04 08:42:10,117 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2024-01-04 08:42:10,117 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4] milliseconds
